SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
201	1	1	1	1	405.1708	56	1	800	1857757.85	0.0062	0.0175	0.8287	1.546	1.9661	0
201	1	2	1	1	358.3123	56	1	800	1857757.85	0.0062	2.0041	2.8158	3.5335	3.895	0
201	1	3	1	1	338.3806	56	1	800	1857757.85	0.0062	3.9218	4.7336	5.4394	5.7817	0
201	1	4	1	1	506.7083	29	1	800	1857757.85	0.0062	5.8042	6.6161	7.322	7.832	0
201	1	5	1	1	413.0966	29	0	800	1857757.85	0.0062	7.8516	8.6633	9.3692	9.7854	0
201	1	6	1	1	528.476	56	1	800	1857757.85	0.0062	0.0209	0.8327	1.5502	2.082	0
201	1	7	1	1	440.3487	56	1	800	1857757.85	0.0062	2.1032	2.9151	3.6211	4.0647	0
201	1	8	1	1	365.5078	56	0	800	1857757.85	0.0062	4.0917	4.9035	5.6095	5.9783	0
201	1	9	1	1	420.3421	56	1	800	1857757.85	0.0062	0.0473	0.8591	1.5768	2.0009	0
201	1	10	1	1	519.205	29	1	800	1857757.85	0.0062	2.0239	2.8358	3.5419	4.0644	0
201	1	11	1	1	549.793	56	0	800	1857757.85	0.0062	4.083	4.8947	5.6007	6.1541	0
201	1	12	1	1	119.6042	29	1	800	1857757.85	0.0062	0.0262	0.838	1.5557	1.6786	0
201	1	1	2	1	497.7812	29	1	800	1857757.85	0.0062	0.0083	0.8202	1.5261	2.0271	1.6881
201	1	2	2	1	476.1693	56	0	800	1857757.85	0.0062	2.0437	2.8556	3.5616	4.041	1.6881
201	1	3	2	1	698.3077	1	0	800	1857757.85	0.0062	0.0315	0.8434	1.561	2.2624	1.6881
201	1	4	2	1	697.875	1	0	800	1857757.85	0.0062	0.0287	0.8406	1.5582	2.2591	1.6881
201	1	5	2	1	452.9199	29	1	800	1857757.85	0.0062	0.0291	0.841	1.5587	2.0192	1.6881
201	1	6	2	1	485.5544	56	1	800	1857757.85	0.0062	2.0411	2.853	3.5588	4.048	1.6881
201	1	7	2	1	477.7299	56	1	800	1857757.85	0.0062	4.0647	4.8766	5.5826	6.0639	1.6881
201	1	8	2	1	383.5087	29	1	800	1857757.85	0.0062	6.0884	6.9003	7.6061	7.9929	1.6881
201	1	9	2	1	427.5596	56	1	800	1857757.85	0.0062	8.0179	8.8298	9.5357	9.9665	1.6881
201	1	10	2	1	310.7784	29	1	800	1857757.85	0.0062	9.9947	10.8064	11.5123	11.8267	1.6881
201	1	11	2	1	456.2699	29	1	800	1857757.85	0.0062	11.8536	12.6654	13.3712	13.8314	1.6881
201	1	12	2	1	312.6045	56	1	800	1857757.85	0.0062	13.8537	14.6656	15.3716	15.6875	1.6881
201	1	1	3	1	483.1292	29	1	800	1857757.85	0.0062	0.0186	0.8305	1.5365	2.0227	15.6964
201	1	2	3	1	330.9211	29	1	800	1857757.85	0.0062	2.0424	2.8542	3.5601	3.8943	15.6964
201	1	3	3	1	318.4343	56	1	800	1857757.85	0.0062	3.9131	4.7249	5.4307	5.7524	15.6964
201	1	4	3	1	303.6177	56	1	800	1857757.85	0.0062	5.772	6.5841	7.2897	7.5966	15.6964
201	1	5	3	1	353.0245	29	1	800	1857757.85	0.0062	7.6192	8.4311	9.1369	9.4932	15.6964
201	1	6	3	1	291.5691	56	1	800	1857757.85	0.0062	9.5134	10.3253	11.0313	11.3269	15.6964
201	1	7	3	1	287.4346	29	0	800	1857757.85	0.0062	11.3489	12.1607	12.8667	13.1574	15.6964
201	1	8	3	1	535.8011	29	1	800	1857757.85	0.0062	0.0247	0.8365	1.5542	2.0936	15.6964
201	1	9	3	1	340.6368	56	1	800	1857757.85	0.0062	2.119	2.9308	3.6367	3.9807	15.6964
201	1	10	3	1	364.1739	29	1	800	1857757.85	0.0062	4.0015	4.8133	5.5192	5.8867	15.6964
201	1	11	3	1	316.3146	56	0	800	1857757.85	0.0062	5.9075	6.7193	7.4252	7.746	15.6964
201	1	12	3	1	416.1799	56	1	800	1857757.85	0.0062	0.0306	0.8425	1.5602	1.9795	15.6964
201	1	1	4	1	412.9782	29	1	800	1857757.85	0.0062	0.0148	0.8271	1.5326	1.9488	1.9909
201	1	2	4	1	306.3273	56	1	800	1857757.85	0.0062	2.0033	2.8151	3.521	3.8306	1.9909
201	1	3	4	1	319.2226	56	1	800	1857757.85	0.0062	3.8624	4.6741	5.38	5.7026	1.9909
201	1	4	4	1	385.2099	29	1	800	1857757.85	0.0062	5.7212	6.533	7.2389	7.6277	1.9909
201	1	5	4	1	354.744	56	1	800	1857757.85	0.0062	7.6507	8.4625	9.1685	9.5266	1.9909
201	1	6	4	1	277.398	56	1	800	1857757.85	0.0062	9.545	10.3568	11.0627	11.3434	1.9909
201	1	7	4	1	343.233	29	1	800	1857757.85	0.0062	11.3687	12.1805	12.8865	13.2331	1.9909
201	1	8	4	1	380.9037	56	1	800	1857757.85	0.0062	13.2513	14.063	14.7689	15.1532	1.9909
201	1	9	4	1	360.5929	29	1	800	1857757.85	0.0062	15.1806	15.9926	16.6986	17.0624	1.9909
201	1	10	4	1	414.9047	29	1	800	1857757.85	0.0062	17.0867	17.8985	18.6045	19.0228	1.9909
201	1	11	4	1	438.2394	56	1	800	1857757.85	0.0062	19.0398	19.8516	20.5581	20.9996	1.9909
