SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
302	1	1	1	1	699.4931	1	0	800	500.8379	 0.0039	 0.0158	 0.8655	 1.5822	 2.2836	0
302	1	2	1	1	699.7584	1	0	800	500.8379	 0.0039	 0.0312	 0.8479	 1.5646	 2.2658	0
302	1	3	1	1	514.1597	56	1	800	500.8379	 0.0039	 0.0311	 0.8477	 1.5644	 2.0816	0
302	1	4	1	1	699.5509	1	0	800	500.8379	 0.0039	 2.0977	 2.9145	 3.6310	 4.3317	0
302	1	5	1	1	344.8589	29	0	800	500.8379	 0.0039	 0.0232	 0.8397	 1.5565	 1.9125	0
302	1	6	1	1	509.9911	56	1	800	500.8379	 0.0039	 0.0198	 0.8365	 1.5531	 2.0643	0
302	1	7	1	1	699.6131	1	0	800	500.8379	 0.0039	 2.0865	 2.9032	 3.6198	 4.3213	0
302	1	8	1	1	699.6078	1	0	800	500.8379	 0.0039	 0.0134	 0.8301	 1.5467	 2.2473	0
302	1	9	1	1	597.7607	56	0	800	500.8379	 0.0039	 0.0193	 0.8359	 1.5526	 2.1516	0
302	1	10	1	1	699.4532	1	0	800	500.8379	 0.0039	 0.0136	 0.8303	 1.5469	 2.2471	0
302	1	11	1	1	699.8608	1	0	800	500.8379	 0.0039	 0.0109	 0.8269	 1.5436	 2.2442	0
302	1	12	1	1	459.3387	56	1	800	500.8379	 0.0039	 0.0228	 0.8395	 1.5561	 2.0171	0
302	1	1	2	1	598.8762	56	1	800	500.8379	 0.0039	 0.0116	 0.8281	 1.5447	 2.1450	 2.0204
302	1	2	2	1	664.3420	56	0	800	500.8379	 0.0039	 2.1614	 2.9781	 3.6948	 4.3601	 2.0204
302	1	3	2	1	538.1788	29	1	800	500.8379	 0.0039	 0.0241	 0.8407	 1.5574	 2.0968	 2.0204
302	1	4	2	1	566.1075	56	0	800	500.8379	 0.0039	 2.1074	 2.9240	 3.6407	 4.2079	 2.0204
302	1	5	2	1	699.9312	1	0	800	500.8379	 0.0039	 0.0125	 0.8292	 1.5458	 2.2465	 2.0204
302	1	6	2	1	699.9849	1	0	800	500.8379	 0.0039	 0.0109	 0.8276	 1.5442	 2.2449	 2.0204
302	1	7	2	1	699.8624	1	0	800	500.8379	 0.0039	 0.0231	 0.8397	 1.5564	 2.2570	 2.0204
302	1	8	2	1	699.4529	1	0	800	500.8379	 0.0039	 0.0178	 0.8343	 1.5509	 2.2511	 2.0204
302	1	9	2	1	579.4770	29	1	800	500.8379	 0.0039	 0.0141	 0.8307	 1.5473	 2.1279	 2.0204
302	1	10	2	1	694.7955	29	1	800	500.8379	 0.0039	 2.1475	 2.9640	 3.6807	 4.3764	 2.0204
302	1	11	2	1	532.2147	56	1	800	500.8379	 0.0039	 4.3975	 5.2141	 5.9307	 6.4640	 2.0204
302	1	12	2	1	464.8223	29	1	800	500.8379	 0.0039	 6.4808	 7.2974	 8.0141	 8.4800	 2.0204
302	1	1	3	1	538.1760	56	1	800	500.8379	 0.0039	 0.0153	 0.8319	 1.5485	 2.0878	 8.4833
302	1	2	3	1	534.9102	29	1	800	500.8379	 0.0039	 2.0985	 2.9152	 3.6319	 4.1679	 8.4833
302	1	3	3	1	380.0708	56	1	800	500.8379	 0.0039	 4.1819	 4.9984	 5.7152	 6.0962	 8.4833
302	1	4	3	1	462.7921	29	1	800	500.8379	 0.0039	 6.1152	 6.9319	 7.6484	 8.1122	 8.4833
302	1	5	3	1	342.1847	56	1	800	500.8379	 0.0039	 8.1318	 8.9485	 9.6651	10.0082	 8.4833
302	1	6	3	1	306.2059	29	0	800	500.8379	 0.0039	10.0318	10.8485	11.5652	11.8725	 8.4833
302	1	7	3	1	587.2124	56	1	800	500.8379	 0.0039	 0.0149	 0.8315	 1.5481	 2.1364	 8.4833
302	1	8	3	1	494.1366	29	0	800	500.8379	 0.0039	 2.1481	 2.9648	 3.6814	 4.1765	 8.4833
302	1	9	3	1	494.7450	56	1	800	500.8379	 0.0039	 0.0184	 0.8351	 1.5519	 2.0478	 8.4833
302	1	10	3	1	445.0463	29	0	800	500.8379	 0.0039	 2.0685	 2.8851	 3.6018	 4.0479	 8.4833
302	1	11	3	1	528.0336	56	1	800	500.8379	 0.0039	 0.0252	 0.8418	 1.5585	 2.0876	 8.4833
302	1	12	3	1	341.0415	56	1	800	500.8379	 0.0039	 2.1086	 2.9252	 3.6417	 3.9838	 8.4833
302	1	1	4	1	503.2622	56	1	800	500.8379	 0.0039	 0.0103	 0.8270	 1.5437	 2.0480	 3.9868
302	1	2	4	1	613.3108	29	1	800	500.8379	 0.0039	 2.0604	 2.8770	 3.5936	 4.2079	 3.9868
302	1	3	4	1	446.1579	56	1	800	500.8379	 0.0039	 4.2270	 5.0437	 5.7603	 6.2075	 3.9868
302	1	4	4	1	678.4021	56	0	800	500.8379	 0.0039	 6.2270	 7.0437	 7.7604	 8.4398	 3.9868
302	1	5	4	1	547.5445	56	1	800	500.8379	 0.0039	 0.0218	 0.8384	 1.5552	 2.1036	 3.9868
302	1	6	4	1	454.9866	29	0	800	500.8379	 0.0039	 2.1218	 2.9384	 3.6551	 4.1111	 3.9868
302	1	7	4	1	472.7967	56	1	800	500.8379	 0.0039	 0.0110	 0.8252	 1.5418	 2.0157	 3.9868
302	1	8	4	1	400.7756	29	0	800	500.8379	 0.0039	 2.0251	 2.8418	 3.5585	 3.9602	 3.9868
302	1	9	4	1	518.0095	56	1	800	500.8379	 0.0039	 0.0115	 0.8282	 1.5449	 2.0643	 3.9868
302	1	10	4	1	571.4666	56	1	800	500.8379	 0.0039	 2.0782	 2.8948	 3.6115	 4.1839	 3.9868
302	1	11	4	1	463.3669	56	1	800	500.8379	 0.0039	 4.1948	 5.0116	 5.7281	 6.1925	 3.9868
