SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
100	1	1	1	1	415.0976	29	1	800	343580.6778	 0.0039	 0.0160	 0.8328	 1.5497	 1.9725	0
100	1	2	1	1	544.5061	29	1	800	343580.6778	 0.0039	 1.9995	 2.8166	 3.5332	 4.0797	0
100	1	3	1	1	571.8666	29	1	800	343580.6778	 0.0039	 4.0999	 4.9334	 5.6503	 6.2243	0
100	1	4	1	1	486.6344	29	1	800	343580.6778	 0.0039	 6.2503	 7.0673	 7.7840	 8.2719	0
100	1	5	1	1	467.9038	29	1	800	343580.6778	 0.0039	 8.3008	 9.1176	 9.8344	10.3036	0
100	1	6	1	1	435.1590	29	1	800	343580.6778	 0.0039	10.3209	11.1346	11.8514	12.2877	0
100	1	7	1	1	499.1429	29	1	800	343580.6778	 0.0039	12.3047	13.1183	13.8353	14.3359	0
100	1	8	1	1	416.7595	56	1	800	343580.6778	 0.0039	14.3529	15.1689	15.8857	16.3036	0
100	1	9	1	1	337.7310	29	1	800	343580.6778	 0.0039	16.3191	17.1359	17.8526	18.1914	0
100	1	10	1	1	517.7188	29	1	800	343580.6778	 0.0039	18.2051	19.0194	19.7363	20.2554	0
100	1	11	1	1	338.4023	56	1	800	343580.6778	 0.0039	20.2739	21.0866	21.8035	22.1433	0
100	1	12	1	1	343.0639	56	1	800	343580.6778	 0.0039	22.1578	22.9702	23.6870	24.0312	0
100	2	1	1	1	407.7908	29	1	800	343618.6686	 0.0009	 0.0177	 0.8347	 1.5514	 1.9603	0
100	2	2	1	1	632.3942	29	1	800	343618.6686	 0.0009	 1.9847	 2.8018	 3.5184	 4.1524	0
100	2	3	1	1	481.0416	29	1	800	343618.6686	 0.0009	 4.1685	 4.9853	 5.7021	 6.1842	0
100	2	4	1	1	431.0034	29	1	800	343618.6686	 0.0009	 6.2022	 7.0190	 7.7359	 8.1680	0
100	2	5	1	1	351.6412	29	1	800	343618.6686	 0.0009	 8.1880	 9.0029	 9.7198	10.0725	0
100	2	6	1	1	339.2568	56	1	800	343618.6686	 0.0009	10.0895	10.9034	11.6199	11.9602	0
100	2	7	1	1	342.7788	56	1	800	343618.6686	 0.0009	11.9742	12.7869	13.5037	13.8476	0
100	2	8	1	1	419.3250	56	1	800	343618.6686	 0.0009	13.8703	14.6872	15.4042	15.8245	0
100	2	9	1	1	364.0090	56	1	800	343618.6686	 0.0009	15.8416	16.6543	17.3710	17.7361	0
100	2	10	1	1	342.6441	56	1	800	343618.6686	 0.0009	17.7544	18.5713	19.2881	19.6319	0
100	2	11	1	1	386.6641	29	1	800	343618.6686	 0.0009	19.6547	20.4717	21.1885	21.5762	0
100	2	12	1	1	333.0719	56	1	800	343618.6686	 0.0009	21.5883	22.4054	23.1223	23.4564	0
100	2	13	1	1	601.0588	56	1	800	343618.6686	 0.0009	23.4762	24.2891	25.0060	25.6082	0
100	2	14	1	1	362.8289	56	1	800	343618.6686	 0.0009	25.6251	26.4395	27.1564	27.5205	0
100	2	15	1	1	333.8947	56	1	800	343618.6686	 0.0009	27.5396	28.3565	29.0732	29.4082	0
100	2	16	1	1	530.1194	29	1	800	343618.6686	 0.0009	29.4261	30.2401	30.9570	31.4882	0
100	2	17	1	1	670.1671	29	1	800	343618.6686	 0.0009	31.5070	32.3239	33.0407	33.7122	0
100	2	18	1	1	517.7226	29	1	800	343618.6686	 0.0009	33.7270	34.5411	35.2577	35.7764	0
100	2	19	1	1	449.4995	29	1	800	343618.6686	 0.0009	35.7915	36.6080	37.3249	37.7758	0
100	2	20	1	1	393.5266	56	1	800	343618.6686	 0.0009	37.7958	38.6086	39.3252	39.7197	0
100	2	21	1	1	314.9692	56	1	800	343618.6686	 0.0009	39.7420	40.5588	41.2756	41.5918	0
100	2	22	1	1	352.1089	29	1	800	343618.6686	 0.0009	41.6090	42.4259	43.1427	43.4958	0
100	2	23	1	1	467.4603	56	1	800	343618.6686	 0.0009	43.5135	44.3262	45.0431	45.5119	0
100	2	24	1	1	371.2200	29	1	800	343618.6686	 0.0009	45.5295	46.3434	47.0600	47.4323	0
100	2	25	1	1	398.2576	29	1	800	343618.6686	 0.0009	47.4475	48.2603	48.9771	49.3764	0
100	2	26	1	1	431.8815	29	1	800	343618.6686	 0.0009	49.3940	50.2107	50.9274	51.3603	0
100	2	27	1	1	343.8445	56	1	800	343618.6686	 0.0009	51.3775	52.1944	52.9112	53.2561	0
100	2	28	1	1	618.8683	29	0	800	343618.6686	 0.0009	53.2781	54.0947	54.8116	55.4318	0
100	2	29	1	1	376.0583	56	0	800	343618.6686	 0.0009	 0.0258	 0.8426	 1.5594	 1.9364	0
100	2	30	1	1	462.6112	56	1	800	343618.6686	 0.0009	 0.0258	 0.8427	 1.5596	 2.0235	0
100	3	1	1	1	617.8189	29	1	800	343699.7177	 0.0011	 0.0175	 0.8323	 1.5490	 2.1681	0
100	3	2	1	1	322.6383	56	1	800	343699.7177	 0.0011	 2.1855	 2.9994	 3.7161	 4.0399	0
100	3	3	1	1	359.9827	56	1	800	343699.7177	 0.0011	 4.0546	 4.8663	 5.5831	 5.9441	0
100	3	4	1	1	419.0409	29	1	800	343699.7177	 0.0011	 5.9665	 6.7834	 7.5002	 7.9202	0
100	3	5	1	1	603.2470	29	1	800	343699.7177	 0.0011	 7.9384	 8.7504	 9.4672	10.0716	0
100	3	6	1	1	381.5208	56	1	800	343699.7177	 0.0011	10.0842	10.9009	11.6176	12.0001	0
100	3	7	1	1	494.9937	29	1	800	343699.7177	 0.0011	12.0208	12.8345	13.5514	14.0477	0
100	3	8	1	1	333.2194	56	1	800	343699.7177	 0.0011	14.0681	14.8849	15.6017	15.9359	0
100	3	9	1	1	561.9051	29	1	800	343699.7177	 0.0011	15.9516	16.7687	17.4854	18.0482	0
100	3	10	1	1	292.2311	56	1	800	343699.7177	 0.0011	18.0689	18.8858	19.6025	19.8957	0
100	3	11	1	1	530.3018	29	1	800	343699.7177	 0.0011	19.9193	20.7360	21.4528	21.9841	0
100	3	12	1	1	366.6453	56	1	800	343699.7177	 0.0011	22.0029	22.8198	23.5365	23.9043	0
100	4	1	1	2	464.8673	56	1	800	343739.5118	 0.0007	 0.0176	 0.8336	 1.5505	 2.0163	0
100	4	2	1	2	383.6923	29	1	800	343739.5118	 0.0007	 2.0337	 2.8506	 3.5675	 3.9522	0
100	4	3	1	2	394.1159	29	1	800	343739.5118	 0.0007	 3.9674	 4.7843	 5.5012	 5.8962	0
100	4	4	1	2	323.4527	56	1	800	343739.5118	 0.0007	 5.9179	 6.7348	 7.4516	 7.7761	0
100	4	5	1	2	336.1081	56	0	800	343739.5118	 0.0007	 7.8017	 8.6184	 9.3352	 9.6722	0
100	4	6	1	2	334.6032	56	1	800	343739.5118	 0.0007	 0.0153	 0.8270	 1.5437	 1.8793	0
100	4	7	1	2	331.3426	56	1	800	343739.5118	 0.0007	 1.8938	 2.7107	 3.4275	 3.7600	0
100	4	8	1	2	479.1280	29	1	800	343739.5118	 0.0007	 3.7779	 4.5944	 5.3111	 5.7914	0
100	4	9	1	2	373.3958	56	1	800	343739.5118	 0.0007	 5.8158	 6.6282	 7.3449	 7.7195	0
100	4	10	1	2	336.5498	56	1	800	343739.5118	 0.0007	 7.7506	 8.5618	 9.2786	 9.6161	0
100	4	11	1	2	508.1501	29	1	800	343739.5118	 0.0007	 9.6328	10.4455	11.1624	11.6716	0
100	4	12	1	2	577.3244	56	1	800	343739.5118	 0.0007	11.6986	12.5126	13.2294	13.8077	0
100	4	13	1	2	460.0932	56	1	800	343739.5118	 0.0007	13.8296	14.6465	15.3631	15.8241	0
100	4	14	1	2	466.9580	29	1	800	343739.5118	 0.0007	15.8471	16.6633	17.3802	17.8481	0
100	4	15	1	2	385.9757	29	1	800	343739.5118	 0.0007	17.8699	18.6805	19.3973	19.7842	0
100	4	16	1	2	395.3602	29	1	800	343739.5118	 0.0007	19.8030	20.6143	21.3310	21.7276	0
100	4	17	1	2	317.5075	56	1	800	343739.5118	 0.0007	21.7478	22.5645	23.2815	23.6000	0
100	4	18	1	2	346.8714	56	1	800	343739.5118	 0.0007	23.6203	24.4315	25.1484	25.4962	0
100	4	19	1	2	382.2645	56	1	800	343739.5118	 0.0007	25.5160	26.3319	27.0487	27.4320	0
100	4	20	1	2	576.4169	29	1	800	343739.5118	 0.0007	27.4512	28.2656	28.9824	29.5599	0
100	4	21	1	2	395.1804	29	1	800	343739.5118	 0.0007	29.5825	30.3994	31.1161	31.5123	0
100	4	22	1	2	371.8486	29	1	800	343739.5118	 0.0007	31.5330	32.3497	33.0667	33.4398	0
100	4	23	1	2	422.9164	56	1	800	343739.5118	 0.0007	33.4707	34.2834	35.0002	35.4241	0
100	4	24	1	2	334.1638	29	1	800	343739.5118	 0.0007	35.4525	36.2671	36.9841	37.3196	0
