SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
987	1	1	1	1	533.6774	56	1	800	1220562.0024	 0.0033	 0.0104	 0.8277	 1.5450	 2.0806	0
987	1	2	1	1	512.7066	29	1	800	1220562.0024	 0.0033	 2.0955	 2.9128	 3.6302	 4.1440	0
987	1	3	1	1	540.0504	56	1	800	1220562.0024	 0.0033	 4.1638	 4.9812	 5.6985	 6.2397	0
987	1	4	1	1	487.2224	56	1	800	1220562.0024	 0.0033	 6.2492	 7.0663	 7.7836	 8.2720	0
987	1	5	1	1	362.5595	29	0	800	1220562.0024	 0.0033	 8.2842	 9.1015	 9.8188	10.1881	0
987	1	6	1	1	522.4783	56	1	800	1220562.0024	 0.0033	 0.0140	 0.8313	 1.5485	 2.0720	0
987	1	7	1	1	699.8439	1	0	800	1220562.0024	 0.0033	 2.0824	 2.8996	 3.6170	 4.3180	0
987	1	8	1	1	367.4750	56	1	800	1220562.0024	 0.0033	 0.0230	 0.8403	 1.5597	 1.9280	0
987	1	9	1	1	459.5874	56	1	800	1220562.0024	 0.0033	 1.9412	 2.7586	 3.4759	 3.9362	0
987	1	10	1	1	699.8084	1	0	800	1220562.0024	 0.0033	 3.9433	 4.7603	 5.4776	 6.1779	0
987	1	11	1	1	554.7078	29	1	800	1220562.0024	 0.0033	 0.0141	 0.8314	 1.5488	 2.1042	0
987	1	12	1	1	564.9047	56	1	800	1220562.0024	 0.0033	 2.1159	 2.9332	 3.6505	 4.2161	0
987	2	1	1	1	517.6165	56	1	800	1220562.0024	 4.2191	 0.0026	 0.8203	 1.5376	 2.0560	0
987	2	2	1	1	465.1476	29	1	800	1220562.0024	 4.2191	 2.0714	 2.8888	 3.6059	 4.0725	0
987	2	3	1	1	415.1163	29	1	800	1220562.0024	 4.2191	 4.0896	 4.9070	 5.6243	 6.0401	0
987	2	4	1	1	422.3788	29	1	800	1220562.0024	 4.2191	 6.0581	 6.8753	 7.5927	 8.0158	0
987	2	5	1	1	414.0992	56	0	800	1220562.0024	 4.2191	 8.0263	 8.8436	 9.5609	 9.9758	0
987	2	6	1	1	465.3102	56	1	800	1220562.0024	 4.2191	 0.0231	 0.8405	 1.5577	 2.0237	0
987	2	7	1	1	455.0682	56	1	800	1220562.0024	 4.2191	 2.0415	 2.8588	 3.5761	 4.0319	0
987	2	8	1	1	517.2961	29	1	800	1220562.0024	 4.2191	 4.0433	 4.8605	 5.5777	 6.0958	0
987	2	9	1	1	489.2516	56	1	800	1220562.0024	 4.2191	 6.1118	 6.9288	 7.6461	 8.1361	0
987	2	10	1	1	389.9263	29	1	800	1220562.0024	 4.2191	 8.1465	 8.9639	 9.6812	10.0719	0
987	2	11	1	1	415.0739	56	1	800	1220562.0024	 4.2191	10.0811	10.8988	11.6160	12.0318	0
987	2	12	1	1	358.9874	29	1	800	1220562.0024	 4.2191	12.0497	12.8671	13.5843	13.9441	0
987	2	13	1	1	513.0613	56	1	800	1220562.0024	 4.2191	13.9513	14.7687	15.4859	15.9999	0
987	2	14	1	1	484.7398	56	1	800	1220562.0024	 4.2191	16.0198	16.8370	17.5544	18.0399	0
987	2	15	1	1	393.9617	29	1	800	1220562.0024	 4.2191	18.0548	18.8721	19.5894	19.9841	0
987	2	16	1	1	418.0877	56	1	800	1220562.0024	 4.2191	20.0064	20.8237	21.5410	21.9599	0
987	2	17	1	1	570.0642	29	1	800	1220562.0024	 4.2191	21.9748	22.7920	23.5093	24.0801	0
987	2	18	1	1	435.6114	29	1	800	1220562.0024	 4.2191	24.0931	24.9104	25.6277	26.0641	0
987	2	19	1	1	634.2793	29	1	800	1220562.0024	 4.2191	26.0781	26.8955	27.6127	28.2476	0
987	2	20	1	1	633.4207	56	1	800	1220562.0024	 4.2191	28.2633	29.0806	29.7979	30.4321	0
987	2	21	1	1	416.0539	56	1	800	1220562.0024	 4.2191	30.4484	31.2658	31.9831	32.3999	0
987	2	22	1	1	432.3298	29	1	800	1220562.0024	 4.2191	32.4168	33.2340	33.9513	34.3843	0
987	2	23	1	1	462.8381	29	0	800	1220562.0024	 4.2191	34.4017	35.2191	35.9363	36.4002	0
987	2	24	1	1	446.8635	56	1	800	1220562.0024	 4.2191	 0.0177	 0.8350	 1.5524	 2.0000	0
987	2	25	1	1	629.4443	56	1	800	1220562.0024	 4.2191	 2.0194	 2.8367	 3.5541	 4.1842	0
987	2	26	1	1	572.2325	29	1	800	1220562.0024	 4.2191	 4.2045	 5.0218	 5.7392	 6.3121	0
987	2	27	1	1	493.7981	56	1	800	1220562.0024	 4.2191	 6.3229	 7.1403	 7.8575	 8.3521	0
987	2	28	1	1	370.7900	29	0	800	1220562.0024	 4.2191	 8.3589	 9.1753	 9.8926	10.2640	0
987	2	29	1	1	699.6514	1	0	800	1220562.0024	 4.2191	 0.0181	 0.8355	 1.5527	 2.2530	0
987	2	30	1	1	501.4858	29	1	800	1220562.0024	 4.2191	 0.0191	 0.8364	 1.5537	 2.0559	0
987	3	1	1	1	481.7448	56	1	800	1220562.0024	 2.0583	 0.0147	 0.8320	 1.5493	 2.0319	0
987	3	2	1	1	390.9402	56	1	800	1220562.0024	 2.0583	 2.0499	 2.8672	 3.5844	 3.9760	0
987	3	3	1	1	559.7459	29	1	800	1220562.0024	 2.0583	 3.9866	 4.8021	 5.5193	 6.0798	0
987	3	4	1	1	450.2976	29	1	800	1220562.0024	 2.0583	 6.0862	 6.9039	 7.6212	 8.0722	0
987	3	5	1	1	699.6874	1	0	800	1220562.0024	 2.0583	 8.0882	 8.9055	 9.6228	10.3230	0
987	3	6	1	1	442.5393	29	0	800	1220562.0024	 2.0583	 0.0139	 0.8313	 1.5486	 1.9918	0
987	3	7	1	1	552.7587	56	1	800	1220562.0024	 2.0583	 0.0160	 0.8333	 1.5507	 2.1042	0
987	3	8	1	1	314.8378	56	1	800	1220562.0024	 2.0583	 2.1179	 2.9352	 3.6524	 3.9679	0
987	3	9	1	1	366.9391	56	0	800	1220562.0024	 2.0583	 3.9861	 4.8034	 5.5206	 5.8883	0
987	3	10	1	1	699.7796	1	0	800	1220562.0024	 2.0583	 0.0294	 0.8469	 1.5640	 2.2645	0
987	3	11	1	1	351.1664	56	1	800	1220562.0024	 2.0583	 0.0101	 0.8274	 1.5445	 1.8964	0
987	3	12	1	1	489.3646	29	1	800	1220562.0024	 2.0583	 1.9115	 2.7289	 3.4461	 3.9362	0
SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
987	4	1	1	2	435.4953	29	1	800	1220785.8813	 0.0034	 0.0115	 0.8289	 1.5461	 1.9895	0
987	4	2	1	2	411.3141	29	1	800	1220785.8813	 0.0034	 2.0129	 2.8303	 3.5476	 3.9608	0
987	4	3	1	2	491.0179	29	1	800	1220785.8813	 0.0034	 3.9812	 4.7986	 5.5159	 6.0081	0
987	4	4	1	2	336.2069	56	1	800	1220785.8813	 0.0034	 6.0159	 6.8336	 7.5509	 7.8878	0
987	4	5	1	2	419.2224	29	1	800	1220785.8813	 0.0034	 7.9012	 8.7185	 9.4358	 9.8557	0
987	4	6	1	2	490.9319	29	0	800	1220785.8813	 0.0034	 9.8695	10.6868	11.4041	11.8958	0
987	4	7	1	2	548.3449	29	1	800	1220785.8813	 0.0034	 0.0120	 0.8293	 1.5463	 2.0955	0
987	4	8	1	2	478.6440	56	1	800	1220785.8813	 0.0034	 2.1139	 2.9310	 3.6484	 4.1278	0
987	4	9	1	2	499.7507	56	1	800	1220785.8813	 0.0034	 4.1488	 4.9662	 5.6834	 6.1838	0
987	4	10	1	2	399.9087	29	1	800	1220785.8813	 0.0034	 6.2006	 7.0178	 7.7351	 8.1357	0
987	4	11	1	2	400.1718	56	1	800	1220785.8813	 0.0034	 8.1522	 8.9695	 9.6867	10.0876	0
987	4	12	1	2	440.5696	29	1	800	1220785.8813	 0.0034	10.1038	10.9211	11.6384	12.0797	0
987	4	13	1	2	423.2701	29	1	800	1220785.8813	 0.0034	12.0888	12.9061	13.6234	14.0473	0
987	4	14	1	2	398.9652	56	1	800	1220785.8813	 0.0034	14.0570	14.8744	15.5917	15.9914	0
