SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
202	1	1	1	1	816.9843	32	0	1000	2239938.9501	 0.0039	 0.0179	 1.0351	 2.0527	 3.0554	0
202	1	2	1	1	 1.0348	32	1	1000	2239938.9501	 0.0039	 3.8544	 4.8722	 5.8898	 6.8899	0
202	1	3	1	1	504.2879	35	1	1000	2239938.9501	 0.0039	 6.9078	 7.9255	 8.9432	 9.9434	0
202	1	4	1	1	457.0710	35	1	1000	2239938.9501	 0.0039	 9.9778	11.0123	12.0467	13.0468	0
202	1	5	1	1	466.4807	35	1	1000	2239938.9501	 0.0039	13.0645	14.0823	15.1001	16.1004	0
202	1	6	1	1	477.4717	32	1	1000	2239938.9501	 0.0039	16.1178	17.1356	18.1535	19.1537	0
202	1	7	1	1	532.3996	32	1	4000	2239938.9501	 0.0039	19.1713	23.1923	24.2102	25.2103	0
202	1	8	1	1	490.7617	32	1	4000	2239938.9501	 0.0039	25.2447	29.2657	30.2835	31.2837	0
202	1	9	1	1	435.4150	32	1	4000	2239938.9501	 0.0039	31.3013	35.3224	36.3402	37.3404	0
202	1	10	1	1	458.9033	35	1	4000	2239938.9501	 0.0039	37.3580	41.3791	42.3969	43.3970	0
202	1	11	1	1	640.7335	32	1	4000	2239938.9501	 0.0039	43.4147	47.4358	48.4536	49.4537	0
202	1	12	1	1	 1.0511	32	0	4000	2239938.9501	 0.0039	49.4714	53.4923	54.5103	55.5104	0
202	1	13	1	1	527.4570	35	1	4000	2239938.9501	 0.0039	56.3290	60.3499	61.3678	62.3680	0
202	1	14	1	1	471.2663	32	1	4000	2239938.9501	 0.0039	62.3856	66.4067	67.4245	68.4247	0
202	1	15	1	1	 1.0504	32	1	4000	2239938.9501	 0.0039	68.4590	72.4801	73.4979	74.4980	0
202	1	16	1	1	396.4420	32	1	4000	2239938.9501	 0.0039	74.5157	78.5367	79.5546	80.5547	0
202	1	17	1	1	516.3762	35	1	4000	2239938.9501	 0.0039	80.5723	84.5934	85.6112	86.6114	0
202	1	18	1	1	538.8422	32	1	4000	2239938.9501	 0.0039	86.6544	90.6668	91.6846	92.6847	0
202	1	19	1	1	466.4733	32	1	4000	2239938.9501	 0.0039	92.7024	96.7235	97.7413	98.7414	0
202	1	20	1	1	416.8624	32	1	4000	2239938.9501	 0.0039	98.7758	102.7969	103.8146	104.8148	0
202	1	21	1	1	471.6023	35	1	4000	2239938.9501	 0.0039	104.8324	108.8535	109.8713	110.8715	0
202	1	22	1	1	431.1232	35	1	4000	2239938.9501	 0.0039	110.8891	114.9102	115.9280	116.9281	0
202	1	23	1	1	429.6016	35	1	4000	2239938.9501	 0.0039	116.9625	120.9836	122.0014	123.0016	0
202	1	24	1	1	436.7171	32	1	4000	2239938.9501	 0.0039	123.0192	127.0403	128.0581	129.0582	0
202	1	25	1	1	411.7752	35	1	4000	2239938.9501	 0.0039	129.0925	133.0968	134.1147	135.1149	0
202	1	26	1	1	675.8412	32	1	4000	2239938.9501	 0.0039	135.1325	139.1536	140.1714	141.1716	0
202	1	27	1	1	402.0217	35	1	4000	2239938.9501	 0.0039	141.1892	145.2103	146.2448	147.2449	0
