SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
301	1	1	1	1	462.5330	32	1	1000	257372.5809	 0.0023	 0.0192	 1.0395	 2.0560	 3.0571	0
301	1	2	1	1	456.5115	32	1	1000	257372.5809	 0.0023	 3.0726	 4.1020	 5.1185	 6.1192	0
301	1	3	1	1	530.6437	32	1	1000	257372.5809	 0.0023	 6.1388	 7.1555	 8.1720	 9.1726	0
301	1	4	1	1	460.9836	32	1	1000	257372.5809	 0.0023	 9.1886	10.2179	11.2344	12.2349	0
301	1	5	1	1	397.5986	35	0	1000	257372.5809	 0.0023	12.2552	13.2718	14.2883	15.2930	0
301	1	6	1	1	508.3020	32	1	1000	257372.5809	 0.0023	16.3211	17.3504	18.3709	19.3712	0
301	1	7	1	1	478.3349	32	1	4000	257372.5809	 0.0023	19.3875	23.4162	24.4328	25.4330	0
301	1	8	1	1	373.1744	35	0	4000	257372.5809	 0.0023	25.4494	29.4656	30.4821	31.4824	0
301	1	9	1	1	454.6863	35	1	4000	257372.5809	 0.0023	32.5194	36.5357	37.5522	38.5524	0
301	1	10	1	1	445.4375	35	1	4000	257372.5809	 0.0023	38.5688	42.5850	43.6017	44.6019	0
301	1	11	1	1	403.9138	35	1	4000	257372.5809	 0.0023	44.6181	48.6345	49.6510	50.6512	0
301	1	12	1	1	451.0999	32	1	4000	257372.5809	 0.0023	50.6675	54.6838	55.7004	56.7006	0
301	1	13	1	1	441.9863	35	1	4000	257372.5809	 0.0023	56.7169	60.7331	61.7497	62.7499	0
301	1	14	1	1	431.5790	32	1	4000	257372.5809	 0.0023	62.7662	66.7825	67.7992	68.7994	0
301	1	15	1	1	422.3786	32	1	4000	257372.5809	 0.0023	68.8155	72.8319	73.8484	74.8486	0
301	1	16	1	1	405.7525	32	1	4000	257372.5809	 0.0023	74.8650	78.8813	79.8978	80.8980	0
301	1	17	1	1	419.4924	32	1	4000	257372.5809	 0.0023	80.9144	84.9306	85.9472	86.9474	0
301	1	18	1	1	394.2482	35	1	4000	257372.5809	 0.0023	86.9637	90.9800	91.9965	92.9967	0
301	1	19	1	1	424.8626	32	1	4000	257372.5809	 0.0023	93.0131	97.0293	98.0459	99.0461	0
301	1	20	1	1	399.7054	32	1	4000	257372.5809	 0.0023	99.0624	103.0787	104.0953	105.0955	0
301	1	21	1	1	403.2467	32	1	4000	257372.5809	 0.0023	105.1235	109.1398	110.1563	111.1565	0
301	1	22	1	1	369.4497	32	1	4000	257372.5809	 0.0023	111.1730	115.1890	116.2056	117.2058	0
301	1	23	1	1	384.3985	32	1	4000	257372.5809	 0.0023	117.2222	121.2384	122.2550	123.2552	0
301	1	24	1	1	399.2343	35	1	4000	257372.5809	 0.0023	123.2714	127.2876	128.3042	129.3044	0
301	1	25	1	1	373.8997	35	1	4000	257372.5809	 0.0023	129.3208	133.3369	134.3535	135.3537	0
301	1	26	1	1	403.7970	35	1	4000	257372.5809	 0.0023	135.3701	139.3862	140.4028	141.4030	0
301	1	27	1	1	427.0733	32	1	4000	257372.5809	 0.0023	141.4194	145.4356	146.4522	147.4524	0
301	1	28	1	1	354.1321	35	1	4000	257372.5809	 0.0023	147.4687	151.4849	152.5014	153.5016	0
301	1	29	1	1	480.0719	32	1	4000	257372.5809	 0.0023	153.5180	157.5341	158.5507	159.5509	0
301	1	30	1	1	574.8183	32	1	4000	257372.5809	 0.0023	159.5674	163.5835	164.6000	165.6002	0
301	2	1	1	1	564.8372	32	1	1000	257372.5809	165.6017	 0.0168	 1.0333	 2.0498	 3.0500	0
301	2	2	1	1	723.2021	35	0	1000	257372.5809	165.6017	 3.0664	 4.0829	 5.0995	 6.0999	0
301	2	3	1	1	547.2640	32	1	1000	257372.5809	165.6017	 7.1383	 8.1549	 9.1714	10.1716	0
301	2	4	1	1	505.9743	32	1	1000	257372.5809	165.6017	10.1880	11.2046	12.2211	13.2213	0
301	2	5	1	1	389.6014	32	1	1000	257372.5809	165.6017	13.2377	14.2650	15.2816	16.2818	0
301	2	6	1	1	363.8240	35	1	1000	257372.5809	165.6017	16.2982	17.3148	18.3313	19.3315	0
301	2	7	1	1	370.1213	35	1	4000	257372.5809	165.6017	19.3478	23.3640	24.3807	25.3809	0
301	2	8	1	1	465.2625	32	1	4000	257372.5809	165.6017	25.3972	29.4133	30.4299	31.4301	0
301	2	9	1	1	384.1969	35	1	4000	257372.5809	165.6017	31.4464	35.4626	36.4791	37.4793	0
301	2	10	1	1	350.2084	35	1	4000	257372.5809	165.6017	37.4957	41.5118	42.5285	43.5287	0
301	2	11	1	1	460.4736	32	1	4000	257372.5809	165.6017	43.5450	47.5612	48.5778	49.5780	0
301	2	12	1	1	380.1231	35	1	4000	257372.5809	165.6017	49.5943	53.6105	54.6272	55.6273	0
301	2	13	1	1	393.8727	35	1	4000	257372.5809	165.6017	55.6436	59.6599	60.6764	61.6766	0
301	2	14	1	1	393.4507	35	1	4000	257372.5809	165.6017	61.6930	65.7091	66.7257	67.7258	0
301	2	15	1	1	408.1053	35	1	4000	257372.5809	165.6017	67.7423	71.7584	72.7750	73.7751	0
301	2	16	1	1	390.2319	35	1	4000	257372.5809	165.6017	73.7915	77.8078	78.8243	79.8245	0
301	2	17	1	1	421.2852	32	1	4000	257372.5809	165.6017	79.8409	83.8570	84.8736	85.8738	0
301	2	18	1	1	356.2925	35	1	4000	257372.5809	165.6017	85.8901	89.9064	90.9229	91.9231	0
301	2	19	1	1	346.4223	35	1	4000	257372.5809	165.6017	91.9394	95.9557	96.9722	97.9724	0
301	2	20	1	1	465.3925	32	1	4000	257372.5809	165.6017	97.9888	102.0049	103.0215	104.0217	0
301	2	21	1	1	464.1176	35	1	4000	257372.5809	165.6017	104.0381	108.0542	109.0708	110.0710	0
301	2	22	1	1	415.0067	32	1	4000	257372.5809	165.6017	110.0873	114.1035	115.1201	116.1203	0
301	2	23	1	1	373.7551	32	1	4000	257372.5809	165.6017	116.1367	120.1529	121.1694	122.1696	0
301	2	24	1	1	372.4055	35	1	4000	257372.5809	165.6017	122.1860	126.2022	127.2187	128.2189	0
301	2	25	1	1	490.7076	32	1	4000	257372.5809	165.6017	128.2351	132.2515	133.2681	134.2683	0
301	2	26	1	1	433.7106	35	1	4000	257372.5809	165.6017	134.2845	138.3008	139.3173	140.3175	0
301	2	27	1	1	408.3721	35	1	4000	257372.5809	165.6017	140.3339	144.3500	145.3666	146.3668	0
301	2	28	1	1	414.4097	35	1	4000	257372.5809	165.6017	146.3832	150.3994	151.4159	152.4161	0
301	2	29	1	1	389.4640	35	1	4000	257372.5809	165.6017	152.4325	156.4487	157.4653	158.4655	0
301	2	30	1	1	387.7895	35	1	4000	257372.5809	165.6017	158.4818	162.4980	163.5146	164.5148	0
301	3	1	1	1	411.9850	35	1	1000	257372.5809	164.5162	 0.0096	 1.0261	 2.0428	 3.0431	0
301	3	2	1	1	562.8408	35	1	1000	257372.5809	164.5162	 3.0594	 4.0759	 5.0925	 6.0927	0
301	3	3	1	1	439.2538	35	1	1000	257372.5809	164.5162	 6.1182	 7.1347	 8.1512	 9.1514	0
301	3	4	1	1	453.7882	32	1	1000	257372.5809	164.5162	 9.1678	10.1843	11.2008	12.2010	0
301	3	5	1	1	443.9564	32	1	1000	257372.5809	164.5162	12.2175	13.2340	14.2505	15.2506	0
301	3	6	1	1	370.0925	32	1	1000	257372.5809	164.5162	15.2670	16.2836	17.3001	18.3003	0
301	3	7	1	1	433.6323	35	1	4000	257372.5809	164.5162	18.3167	22.3329	23.3495	24.3496	0
301	3	8	1	1	399.9868	35	1	4000	257372.5809	164.5162	24.3660	28.3823	29.3989	30.3991	0
301	3	9	1	1	398.3959	35	1	4000	257372.5809	164.5162	30.4153	34.4315	35.4480	36.4482	0
301	3	10	1	1	396.9739	35	1	4000	257372.5809	164.5162	36.4646	40.4808	41.4974	42.4975	0
301	3	11	1	1	412.6440	35	1	4000	257372.5809	164.5162	42.5140	46.5301	47.5466	48.5468	0
301	3	12	1	1	362.6458	35	1	4000	257372.5809	164.5162	48.5632	52.5795	53.5960	54.5961	0
301	3	13	1	1	393.7532	32	1	4000	257372.5809	164.5162	54.6125	58.6287	59.6453	60.6455	0
301	3	14	1	1	399.6254	35	1	4000	257372.5809	164.5162	60.6619	64.6780	65.6946	66.6948	0
301	3	15	1	1	430.4091	35	1	4000	257372.5809	164.5162	66.7111	70.7274	71.7439	72.7441	0
301	3	16	1	1	413.8276	35	1	4000	257372.5809	164.5162	72.7604	76.7766	77.7932	78.7933	0
301	3	17	1	1	364.7275	35	1	4000	257372.5809	164.5162	78.8097	82.8259	83.8425	84.8426	0
301	3	18	1	1	379.1031	35	1	4000	257372.5809	164.5162	84.8589	88.8752	89.8917	90.8919	0
301	3	19	1	1	386.1914	32	1	4000	257372.5809	164.5162	90.9083	94.9245	95.9411	96.9412	0
301	3	20	1	1	448.7997	35	1	4000	257372.5809	164.5162	96.9576	100.9738	101.9904	102.9906	0
301	3	21	1	1	414.7087	32	1	4000	257372.5809	164.5162	103.0070	107.0231	108.0397	109.0399	0
301	3	22	1	1	421.6211	35	1	4000	257372.5809	164.5162	109.0563	113.0725	114.0890	115.0891	0
301	3	23	1	1	436.9415	32	1	4000	257372.5809	164.5162	115.1055	119.1217	120.1383	121.1385	0
301	3	24	1	1	403.0864	35	1	4000	257372.5809	164.5162	121.1549	125.1710	126.1876	127.1878	0
301	3	25	1	1	497.5630	32	1	4000	257372.5809	164.5162	127.2041	131.2203	132.2369	133.2371	0
301	3	26	1	1	384.9672	32	1	4000	257372.5809	164.5162	133.2534	137.2696	138.2862	139.2863	0
301	3	27	1	1	383.2598	35	1	4000	257372.5809	164.5162	139.3028	143.3189	144.3355	145.3357	0
301	3	28	1	1	374.1782	35	1	4000	257372.5809	164.5162	145.3520	149.3683	150.3848	151.3850	0
301	3	29	1	1	364.6451	35	1	4000	257372.5809	164.5162	151.4013	155.4176	156.4341	157.4343	0
301	3	30	1	1	371.0734	35	1	4000	257372.5809	164.5162	157.4507	161.4668	162.4834	163.4836	0
301	4	1	1	2	542.9438	32	1	1000	258002.3118	 0.0026	 0.0146	 1.0313	 2.0479	 3.0486	0
301	4	2	1	2	397.3074	32	1	1000	258002.3118	 0.0026	 3.0643	 4.0809	 5.0975	 6.0981	0
301	4	3	1	2	604.3768	35	1	1000	258002.3118	 0.0026	 6.1140	 7.1305	 8.1470	 9.1475	0
301	4	4	1	2	472.2258	32	1	1000	258002.3118	 0.0026	 9.1636	10.1907	11.2072	12.2077	0
301	4	5	1	2	399.5826	32	1	1000	258002.3118	 0.0026	12.2302	13.2468	14.2631	15.2668	0
301	4	6	1	2	422.8263	32	1	1000	258002.3118	 0.0026	15.2796	16.2960	17.3126	18.3129	0
301	4	7	1	2	397.4626	32	1	4000	258002.3118	 0.0026	18.3292	22.3453	23.3621	24.3622	0
301	4	8	1	2	371.8212	32	1	4000	258002.3118	 0.0026	24.3784	28.3947	29.4112	30.4114	0
301	4	9	1	2	355.2938	35	1	4000	258002.3118	 0.0026	30.4279	34.4439	35.4606	36.4608	0
301	4	10	1	2	369.5040	32	1	4000	258002.3118	 0.0026	36.4771	40.4933	41.5098	42.5100	0
301	4	11	1	2	376.1705	32	1	4000	258002.3118	 0.0026	42.5264	46.5425	47.5592	48.5594	0
301	4	12	1	2	367.4233	32	1	4000	258002.3118	 0.0026	48.5756	52.5919	53.6084	54.6086	0
301	4	13	1	2	381.6037	32	1	4000	258002.3118	 0.0026	54.6250	58.6412	59.6577	60.6579	0
301	4	14	1	2	372.3064	32	1	4000	258002.3118	 0.0026	60.6743	64.6905	65.7071	66.7072	0
301	4	15	1	2	418.6663	32	1	4000	258002.3118	 0.0026	66.7236	70.7399	71.7563	72.7565	0
301	4	16	1	2	385.1195	32	1	4000	258002.3118	 0.0026	72.7729	76.7890	77.8057	78.8059	0
301	4	17	1	2	376.5207	35	1	4000	258002.3118	 0.0026	78.8222	82.8384	83.8550	84.8552	0
301	4	18	1	2	431.5191	35	1	4000	258002.3118	 0.0026	84.8714	88.8877	89.9042	90.9044	0
301	4	19	1	2	454.0343	32	1	4000	258002.3118	 0.0026	90.9208	94.9370	95.9535	96.9537	0
301	4	20	1	2	396.8232	32	1	4000	258002.3118	 0.0026	96.9700	100.9863	102.0028	103.0030	0
301	4	21	1	2	411.4786	35	1	4000	258002.3118	 0.0026	103.0194	107.0355	108.0522	109.0524	0
301	4	22	1	2	418.1377	35	1	4000	258002.3118	 0.0026	109.0687	113.0849	114.1015	115.1017	0
301	4	23	1	2	408.8006	35	1	4000	258002.3118	 0.0026	115.1180	119.1342	120.1507	121.1509	0
301	4	24	1	2	406.9561	35	1	4000	258002.3118	 0.0026	121.1673	125.1835	126.2000	127.2002	0
301	4	25	1	2	462.3522	32	1	4000	258002.3118	 0.0026	127.2166	131.2328	132.2494	133.2495	0
301	4	26	1	2	364.6748	32	1	4000	258002.3118	 0.0026	133.2660	137.2821	138.2987	139.2988	0
301	4	27	1	2	467.1234	32	1	4000	258002.3118	 0.0026	139.3152	143.3314	144.3480	145.3482	0
301	4	28	1	2	417.6099	35	1	4000	258002.3118	 0.0026	145.3645	149.3807	150.3974	151.3975	0
301	4	29	1	2	369.4071	35	1	4000	258002.3118	 0.0026	151.4138	155.4300	156.4466	157.4468	0
301	4	30	1	2	431.2333	35	1	4000	258002.3118	 0.0026	157.4631	161.4793	162.4959	163.4961	0
301	5	1	1	2	564.5859	32	1	1000	258002.3118	163.4975	 0.0178	 1.0343	 2.0509	 3.0511	0
301	5	2	1	2	566.1607	32	1	1000	258002.3118	163.4975	 3.0718	 4.0884	 5.1049	 6.1051	0
301	5	3	1	2	556.3907	35	1	1000	258002.3118	163.4975	 6.1215	 7.1380	 8.1546	 9.1547	0
301	5	4	1	2	458.5905	35	1	1000	258002.3118	163.4975	 9.1711	10.1877	11.2042	12.2043	0
301	5	5	1	2	393.1476	35	1	1000	258002.3118	163.4975	12.2208	13.2373	14.2538	15.2540	0
301	5	6	1	2	440.0130	32	1	1000	258002.3118	163.4975	15.2704	16.2870	17.3036	18.3037	0
301	5	7	1	2	422.7829	32	1	4000	258002.3118	163.4975	18.3201	22.3363	23.3529	24.3531	0
301	5	8	1	2	364.5492	35	1	4000	258002.3118	163.4975	24.3694	28.3856	29.4021	30.4023	0
301	5	9	1	2	420.2872	35	1	4000	258002.3118	163.4975	30.4187	34.4349	35.4515	36.4516	0
301	5	10	1	2	410.7106	35	1	4000	258002.3118	163.4975	36.4680	40.4842	41.5007	42.5008	0
301	5	11	1	2	385.7714	35	1	4000	258002.3118	163.4975	42.5173	46.5335	47.5499	48.5501	0
