SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
201	1	1	1	1	495.8005	35	1	1000	1101815.67	0.0032	0.0359	1.0532	2.0709	3.0735	0
201	1	2	1	1	579.6084	35	1	1000	1101815.67	0.0032	3.1049	4.1227	5.1405	6.1406	0
201	1	3	1	1	606.0364	35	1	1000	1101815.67	0.0032	6.1583	7.1761	8.1939	9.194	0
201	1	4	1	1	471.7911	35	1	1000	1101815.67	0.0032	9.2116	10.2294	11.2472	12.2473	0
201	1	5	1	1	562.2819	32	1	1000	1101815.67	0.0032	12.2817	13.2995	14.3172	15.3174	0
201	1	6	1	1	468.4862	35	1	1000	1101815.67	0.0032	15.3517	16.3695	17.3873	18.3875	0
201	1	7	1	1	523.5454	35	1	4000	1101815.67	0.0032	18.4051	22.4262	23.444	24.4442	0
201	1	8	1	1	466.9432	32	1	4000	1101815.67	0.0032	24.4618	28.4829	29.5007	30.5009	0
201	1	9	1	1	410.045	35	1	4000	1101815.67	0.0032	30.5352	34.5563	35.574	36.5742	0
201	1	10	1	1	408.4878	35	1	4000	1101815.67	0.0032	36.5919	40.613	41.6307	42.6309	0
201	1	11	1	1	544.5928	32	1	4000	1101815.67	0.0032	42.6652	46.6696	47.6874	48.6875	0
201	1	12	1	1	383.9159	35	1	4000	1101815.67	0.0032	48.7053	52.7263	53.7441	54.7442	0
201	1	13	1	1	542.1699	32	1	4000	1101815.67	0.0032	54.7619	58.783	59.8008	60.8009	0
201	1	14	1	1	518.2196	35	1	4000	1101815.67	0.0032	60.8353	64.8563	65.8742	66.8743	0
201	1	15	1	1	541.4126	32	1	4000	1101815.67	0.0032	66.8919	70.913	71.9308	72.931	0
201	1	16	1	1	508.4937	35	1	4000	1101815.67	0.0032	72.9653	76.9697	77.9875	78.9876	0
201	1	17	1	1	523.4954	32	1	4000	1101815.67	0.0032	79.0053	83.0264	84.0442	85.0443	0
201	1	18	1	1	434.8211	32	1	4000	1101815.67	0.0032	85.062	89.0831	90.1009	91.1011	0
201	1	19	1	1	512.9212	32	1	4000	1101815.67	0.0032	91.1354	95.1564	96.1742	97.1744	0
201	1	20	1	1	416.0424	35	1	4000	1101815.67	0.0032	97.192	101.2131	102.2309	103.2311	0
201	1	21	1	1	527.6321	35	1	4000	1101815.67	0.0032	103.2653	107.2696	108.2876	109.2878	0
201	1	22	1	1	503.1109	35	1	4000	1101815.67	0.0032	109.3054	113.3265	114.3442	115.3444	0
201	1	23	1	1	518.3331	32	1	4000	1101815.67	0.0032	115.3621	119.3999	120.4177	121.4178	0
201	1	24	1	1	404.3008	35	1	4000	1101815.67	0.0032	121.4521	125.4732	126.491	127.4912	0
201	1	25	1	1	363.0742	35	1	4000	1101815.67	0.0032	127.5088	131.5299	132.5477	133.5479	0
201	1	26	1	1	418.8647	35	1	4000	1101815.67	0.0032	133.5822	137.6033	138.6211	139.6212	0
201	1	27	1	1	417.3922	35	1	4000	1101815.67	0.0032	139.6389	143.66	144.6777	145.6779	0
201	1	28	1	1	400.4968	35	1	4000	1101815.67	0.0032	145.6954	149.7166	150.7511	151.7513	0
201	1	29	1	1	471.7794	32	0	4000	1101815.67	0.0032	151.7856	155.8067	156.8245	157.8246	0
201	1	30	1	1	404.6275	35	1	4000	1101815.67	0.0032	158.8601	162.8812	163.899	164.8991	0
201	1	1	1	1	406.1584	35	1	1000	1101815.67	0.0032	0.0211	1.0384	2.0562	3.0563	164.9031
201	1	2	1	1	553.1126	35	1	1000	1101815.67	0.0032	3.074	4.0918	5.1096	6.1097	164.9031
201	1	3	1	1	633.4408	35	1	1000	1101815.67	0.0032	6.1441	7.1785	8.213	9.2131	164.9031
201	1	4	1	1	659.2906	35	1	1000	1101815.67	0.0032	9.2308	10.2486	11.2664	12.2665	164.9031
201	1	5	1	1	599.2665	32	1	1000	1101815.67	0.0032	12.2842	13.302	14.3197	15.3199	164.9031
201	1	6	1	1	665.1495	35	1	1000	1101815.67	0.0032	15.3375	16.3553	17.3731	18.3733	164.9031
201	1	7	1	1	471.285	35	1	4000	1101815.67	0.0032	18.3909	22.412	23.4465	24.4466	164.9031
201	1	8	1	1	654.8334	32	1	4000	1101815.67	0.0032	24.4641	28.4854	29.5032	30.5033	164.9031
201	1	9	1	1	494.2996	35	1	4000	1101815.67	0.0032	30.5209	34.542	35.5598	36.5599	164.9031
201	1	10	1	1	373.6547	35	1	4000	1101815.67	0.0032	36.5943	40.6154	41.6332	42.6333	164.9031
201	1	11	1	1	556.8299	32	1	4000	1101815.67	0.0032	42.651	46.672	47.6899	48.6901	164.9031
201	1	12	1	1	459.8091	35	1	4000	1101815.67	0.0032	48.7076	52.7288	53.7633	54.7634	164.9031
201	1	13	1	1	426.708	32	1	4000	1101815.67	0.0032	54.781	58.8021	59.82	60.8201	164.9031
201	1	14	1	1	393.3718	35	1	4000	1101815.67	0.0032	60.8377	64.8588	65.8766	66.8768	164.9031
201	1	15	1	1	544.0044	32	1	4000	1101815.67	0.0032	66.9111	70.9322	71.95	72.9501	164.9031
201	1	16	1	1	424.3126	35	1	4000	1101815.67	0.0032	72.9678	76.9889	78.0067	79.0068	164.9031
201	1	17	1	1	623.2709	32	1	4000	1101815.67	0.0032	79.0245	83.0456	84.0633	85.0634	164.9031
201	1	18	1	1	477.7504	32	1	4000	1101815.67	0.0032	85.0811	89.1022	90.12	91.1202	164.9031
201	1	19	1	1	469.3678	32	1	4000	1101815.67	0.0032	91.1378	95.1589	96.1767	97.1769	164.9031
201	1	20	1	1	500.5656	35	1	4000	1101815.67	0.0032	97.2112	101.2323	102.2501	103.2502	164.9031
201	1	21	1	1	659.5105	35	1	4000	1101815.67	0.0032	103.2679	107.289	108.3068	109.3069	164.9031
201	1	22	1	1	443.1993	35	1	4000	1101815.67	0.0032	109.3246	113.3457	114.3635	115.3636	164.9031
201	1	23	1	1	553.8107	32	1	4000	1101815.67	0.0032	115.3812	119.4023	120.4201	121.4203	164.9031
201	1	24	1	1	417.5246	35	1	4000	1101815.67	0.0032	121.4379	125.459	126.4769	127.477	164.9031
201	1	25	1	1	432.8019	35	1	4000	1101815.67	0.0032	127.5113	131.5324	132.5502	133.5503	164.9031
201	1	26	1	1	432.0733	35	1	4000	1101815.67	0.0032	133.568	137.589	138.6069	139.607	164.9031
201	1	27	1	1	519.6307	35	1	4000	1101815.67	0.0032	139.6247	143.6458	144.6635	145.6636	164.9031
