SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
789	1	1	1	1	593.8883	29	1	800	1825948.2984	 0.0026	 0.0060	 0.8234	 1.5407	 2.1364	0
789	1	2	1	1	466.2224	29	1	800	1825948.2984	 0.0026	 2.1579	 2.9753	 3.6925	 4.1598	0
789	1	3	1	1	455.6735	56	1	800	1825948.2984	 0.0026	 4.1762	 4.9936	 5.7109	 6.1678	0
789	1	4	1	1	317.8584	56	1	800	1825948.2984	 0.0026	 6.1779	 6.9953	 7.7125	 8.0315	0
789	1	5	1	1	392.2390	56	1	800	1825948.2984	 0.0026	 8.0464	 8.8636	 9.5809	 9.9801	0
789	1	6	1	1	386.1606	29	1	800	1825948.2984	 0.0026	 9.9978	10.8151	11.5324	11.9195	0
789	1	7	1	1	475.7812	56	1	800	1825948.2984	 0.0026	11.9336	12.7500	13.4673	13.9437	0
789	1	8	1	1	377.1719	29	1	800	1825948.2984	 0.0026	13.9510	14.7683	15.4857	15.8636	0
789	1	9	1	1	426.3253	56	1	800	1825948.2984	 0.0026	15.8860	16.7034	17.4206	17.8476	0
789	1	10	1	1	393.1834	29	1	800	1825948.2984	 0.0026	17.8707	18.6883	19.4057	19.7997	0
789	1	11	1	1	497.6239	29	1	800	1825948.2984	 0.0026	19.8226	20.6399	21.3572	21.8555	0
789	1	12	1	1	461.6569	29	1	800	1825948.2984	 0.0026	21.8743	22.6916	23.4090	23.8714	0
789	1	13	1	1	435.2441	29	1	800	1825948.2984	 0.0026	23.8927	24.7100	25.4273	25.8633	0
789	1	14	1	1	514.2777	56	1	800	1825948.2984	 0.0026	25.8778	26.6950	27.4122	27.9273	0
789	1	15	1	1	622.1693	56	1	800	1825948.2984	 0.0026	27.9460	28.7634	29.4806	30.1035	0
789	1	16	1	1	405.6030	29	1	800	1825948.2984	 0.0026	30.1146	30.9319	31.6492	32.0555	0
789	1	17	1	1	630.0729	56	1	800	1825948.2984	 0.0026	32.0662	32.8835	33.6008	34.2316	0
789	1	18	1	1	444.4931	56	1	800	1825948.2984	 0.0026	34.2513	35.0687	35.7860	36.2311	0
789	1	19	1	1	395.0047	29	1	800	1825948.2984	 0.0026	36.2531	37.0704	37.7876	38.1834	0
789	1	20	1	1	635.2060	29	1	800	1825948.2984	 0.0026	38.2047	39.0220	39.7393	40.3752	0
789	1	21	1	1	378.1977	56	1	800	1825948.2984	 0.0026	40.3898	41.2071	41.9245	42.3035	0
789	1	22	1	1	491.4572	56	1	800	1825948.2984	 0.0026	42.3248	43.1421	43.8594	44.3516	0
789	1	23	1	1	328.5817	56	1	800	1825948.2984	 0.0026	44.3595	45.1771	45.8944	46.2237	0
789	1	24	1	1	395.2500	29	1	800	1825948.2984	 0.0026	46.2447	47.0620	47.7793	48.1754	0
789	1	25	1	1	339.7359	56	1	800	1825948.2984	 0.0026	48.1964	49.0136	49.7309	50.0714	0
789	1	26	1	1	414.9786	56	1	800	1825948.2984	 0.0026	50.0813	50.8986	51.6158	52.0316	0
789	1	27	1	1	454.2942	56	0	800	1825948.2984	 0.0026	52.0496	52.8669	53.5843	54.0395	0
789	1	28	1	1	401.5131	56	1	800	1825948.2984	 0.0026	 0.0150	 0.8324	 1.5496	 1.9519	0
789	1	29	1	1	465.6713	29	1	800	1825948.2984	 0.0026	 1.9667	 2.7839	 3.5012	 3.9677	0
789	1	30	1	1	647.5774	29	1	800	1825948.2984	 0.0026	 3.9850	 4.8023	 5.5196	 6.1679	0
