SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
303	1	1	1	1	537.7201	32	1	1000	428726.7896	 0.0028	 0.0185	 1.0440	 2.0604	 3.0615	0
303	1	2	1	1	921.4633	32	1	1000	428726.7896	 0.0028	 3.0846	 4.1012	 5.1178	 6.1185	0
303	1	3	1	1	567.2345	35	1	1000	428726.7896	 0.0028	 6.1343	 7.1510	 8.1674	 9.1681	0
303	1	4	1	1	572.8706	32	1	1000	428726.7896	 0.0028	 9.1840	10.2096	11.2262	12.2267	0
303	1	5	1	1	777.1871	32	1	1000	428726.7896	 0.0028	12.2430	13.2671	14.2837	15.2885	0
303	1	6	1	1	481.0878	35	1	1000	428726.7896	 0.0028	15.3091	16.3256	17.3422	18.3424	0
303	1	7	1	1	639.3480	32	0	4000	428726.7896	 0.0028	18.3663	22.3825	23.3990	24.3995	0
303	1	8	1	1	686.0765	35	1	4000	428726.7896	 0.0028	25.4321	29.4483	30.4649	31.4651	0
303	1	9	1	1	636.5311	32	1	4000	428726.7896	 0.0028	31.4814	35.4975	36.5141	37.5143	0
303	1	10	1	1	771.1842	32	1	4000	428726.7896	 0.0028	37.5307	41.5469	42.5634	43.5636	0
303	1	11	1	1	754.5035	32	1	4000	428726.7896	 0.0028	43.5800	47.5961	48.6128	49.6130	0
303	1	12	1	1	544.3327	35	1	4000	428726.7896	 0.0028	49.6294	53.6455	54.6620	55.6622	0
303	1	13	1	1	672.0663	32	1	4000	428726.7896	 0.0028	55.6786	59.6947	60.7114	61.7115	0
303	1	14	1	1	710.2866	35	1	4000	428726.7896	 0.0028	61.7279	65.7441	66.7607	67.7609	0
303	1	15	1	1	620.5318	32	1	4000	428726.7896	 0.0028	67.7772	71.7934	72.8100	73.8101	0
303	1	16	1	1	667.2130	32	1	4000	428726.7896	 0.0028	73.8266	77.8427	78.8592	79.8595	0
303	1	17	1	1	698.5414	32	1	4000	428726.7896	 0.0028	79.8758	83.8920	84.9086	85.9088	0
303	1	18	1	1	697.3841	32	1	4000	428726.7896	 0.0028	85.9251	89.9413	90.9578	91.9580	0
303	1	19	1	1	840.1283	35	1	4000	428726.7896	 0.0028	91.9744	95.9906	97.0071	98.0073	0
303	1	20	1	1	574.8521	32	1	4000	428726.7896	 0.0028	98.0238	102.0399	103.0565	104.0567	0
303	1	21	1	1	540.7870	32	1	4000	428726.7896	 0.0028	104.0731	108.0892	109.1058	110.1060	0
303	1	22	1	1	612.3299	35	1	4000	428726.7896	 0.0028	110.1224	114.1385	115.1551	116.1553	0
303	1	23	1	1	802.9843	35	1	4000	428726.7896	 0.0028	116.1716	120.1879	121.2044	122.2046	0
303	1	24	1	1	473.3815	35	1	4000	428726.7896	 0.0028	122.2210	126.2372	127.2537	128.2538	0
303	1	25	1	1	735.8702	32	1	4000	428726.7896	 0.0028	128.2702	132.2865	133.3031	134.3033	0
303	1	26	1	1	503.0273	35	1	4000	428726.7896	 0.0028	134.3196	138.3358	139.3523	140.3525	0
303	1	27	1	1	565.2527	32	1	4000	428726.7896	 0.0028	140.3688	144.3850	145.4017	146.4019	0
303	1	28	1	1	492.1453	32	1	4000	428726.7896	 0.0028	146.4181	150.4344	151.4509	152.4511	0
303	1	29	1	1	475.1460	35	1	4000	428726.7896	 0.0028	152.4675	156.4836	157.5002	158.5004	0
303	1	30	1	1	473.6934	35	1	4000	428726.7896	 0.0028	158.5168	162.5329	163.5495	164.5497	0
303	2	1	1	1	565.9952	35	1	1000	428726.7896	164.5511	 0.0167	 1.0332	 2.0498	 3.0500	0
303	2	2	1	1	523.3423	32	1	1000	428726.7896	164.5511	 3.0664	 4.0830	 5.0994	 6.0999	0
303	2	3	1	1	498.1560	35	1	1000	428726.7896	164.5511	 6.1160	 7.1325	 8.1492	 9.1494	0
303	2	4	1	1	784.6808	32	1	1000	428726.7896	164.5511	 9.1656	10.1823	11.1988	12.1990	0
303	2	5	1	1	590.4410	35	0	1000	428726.7896	164.5511	12.2153	13.2319	14.2484	15.2486	0
